Sno,Date,State/UnionTerritory,total_confirmed,Cured,Deaths
1,26/03/20,Andaman and Nicobar Islands,1,0,0
1,27/03/20,Andaman and Nicobar Islands,1,0,0
2,28/03/20,Andaman and Nicobar Islands,6,0,0
2,29/03/20,Andaman and Nicobar Islands,9,0,0
122,12/03/20,Andhra Pradesh,1,0,0
135,13/03/20,Andhra Pradesh,1,0,0
148,14/03/20,Andhra Pradesh,1,0,0
149,15/03/20,Andhra Pradesh,1,0,0
163,16/03/20,Andhra Pradesh,1,0,0
178,17/03/20,Andhra Pradesh,1,0,0
193,18/03/20,Andhra Pradesh,1,0,0
210,19/03/20,Andhra Pradesh,2,0,0
229,20/03/20,Andhra Pradesh,3,0,0
249,21/03/20,Andhra Pradesh,3,0,0
271,22/03/20,Andhra Pradesh,5,0,0
1,23/03/20,Andhra Pradesh,7,0,0
1,24/03/20,Andhra Pradesh,8,0,0
1,25/03/20,Andhra Pradesh,9,1,0
2,26/03/20,Andhra Pradesh,11,1,0
2,27/03/20,Andhra Pradesh,12,1,0
1,28/03/20,Andhra Pradesh,14,1,0
1,29/03/20,Andhra Pradesh,19,1,0
272,22/03/20,Bihar,2,0,1
2,23/03/20,Bihar,2,0,1
2,24/03/20,Bihar,3,0,1
2,25/03/20,Bihar,4,0,1
3,26/03/20,Bihar,6,0,1
3,27/03/20,Bihar,6,0,1
3,28/03/20,Bihar,9,0,1
3,29/03/20,Bihar,11,0,1
265,21/03/20,Chandigarh,1,0,0
288,22/03/20,Chandigarh,5,0,0
18,23/03/20,Chandigarh,6,0,0
19,24/03/20,Chandigarh,7,0,0
20,25/03/20,Chandigarh,7,0,0
4,26/03/20,Chandigarh,7,0,0
4,27/03/20,Chandigarh,7,0,0
4,28/03/20,Chandigarh,8,0,0
4,29/03/20,Chandigarh,8,0,0
211,19/03/20,Chattisgarh,1,0,0
230,20/03/20,Chhattisgarh,1,0,0
250,21/03/20,Chhattisgarh,1,0,0
273,22/03/20,Chhattisgarh,1,0,0
3,23/03/20,Chhattisgarh,1,0,0
3,24/03/20,Chhattisgarh,1,0,0
3,25/03/20,Chhattisgarh,1,0,0
