"Timestamp","What is your age?            ","To which gender identity do you most identify?        ","Additional identity not listed?","Please tick the sexual orientation that best represents you:   ","Additional identity not listed?","Where do you reside?                           ","What region do you perform most of your research in?","Please select the racial or ethnic identity that represents you (please select all that apply).","Additional identity not listed?","Please select the religious affiliation that best represents you?            ","Additional identity not listed?","How would you describe your ability/disability status?                    ","Additional ability not listed?","Please describe your level of fluency with written English.                ","Please describe your level of fluency with spoken English.                ","Are you a parent or are you responsible for caring for children?            ","Are you responsible for caring for an adult?                            ","Does access to childcare or funds for care costs change your ability to attend IUSSI conferences?    ","Would you consider yourself part of the first generation in your family to attend college/university to earn a bachelor’s degree?           ","What is your position (please select all that apply)?            ","Which of these conferences have you attended before?","If you have participated before, in what capacity (Select all that applies)?","How would you best describe the institution where you work? (select all that apply)","To what extent do you agree with this statement: There are or have been barriers preventing me from fully participating in the international IUSSI conference.    ","If you agreed with the previous question, are the barriers preventing you from fully participating in IUSSI or its meetings based on any of the following: (Please select all that apply).","Additional barrier"
"2022/02/06 12:10:30 AM EST","35-39 years old","Cisgender man","","Heterosexual","","Other","Other","East Asian","","Buddhism","","I have no disability/impairment","","Limited working proficiency","Elementary proficiency","Yes","No","Yes","Yes","Graduate Student (MS or PhD)","","","2 yr undergraduate serving institution","Somewhat agree","Language;Another issue (please specify below)","COVID-19"
"2022/02/06 5:03:53 AM EST","30-34 years old","Cisgender woman","","Heterosexual","","Europe","Europe","White","","I am not religious","","A chronic medical condition","","Professional working proficiency","Professional working proficiency","","No","No","Yes","Graduate Student (MS or PhD)","IUSSI 2018: Guarujá, Brazil","Poster presenter","Research Institute (INPA, Butantã Institute, Humboldt, Insibio, Inecol, NSF, NIH, HHMI etc)","Neutral","",""
"2022/02/06 1:32:23 PM EST","65-69 years old","Cisgender woman","","Heterosexual","","Continental US","Continental US","White","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","No","No","No","Tenure track faculty (late - tenured equivalent)","IUSSI 2014: Cairns, Australia;IUSSI 2006: Washington D.C., USA","Attendee;Invited speaker","Research-intensive institution (M.S. and Ph.D.)","Somewhat agree","Personal or institutional financial resources;Geographic location",""
"2022/02/07 9:18:58 AM EST","35-39 years old","Cisgender woman","","Heterosexual","","Europe","Europe","White","","Prefer not to respond","","I have no disability/impairment","","Professional working proficiency","Native / bilingual proficiency","No","No","No","Yes","Post Doc","IUSSI 2018: Guarujá, Brazil","Attendee;Invited speaker","Public University or Faculty","Somewhat agree","","pandemic"
"2022/02/07 9:43:16 AM EST","21-24 years olf","Cisgender woman","","Bisexual","","South America","South America","Latinx","","Agnostic","","I have no disability/impairment","","Limited working proficiency","Professional working proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Government institution;Research-intensive institution (M.S. and Ph.D.);Public University or Faculty","Strongly agree","Visa issue;Personal or institutional financial resources;Access to travel awards/funding;Language",""
"2022/02/07 9:15:05 PM EST","25-29 years old","Cisgender man","","Homosexual (gay/lesbian)","","Other","Other","East Asian","","I am not religious","","I have no disability/impairment","","Limited working proficiency","Limited working proficiency","No","No","No","No","Post Doc","IUSSI 2018: Guarujá, Brazil","Attendee","Public University or Faculty","Neutral","",""
"2022/02/08 4:40:36 AM EST","30-34 years old","Cisgender man","","Prefer not to respond","","Other","Other","East Asian","","I am not religious","","I have no disability/impairment","","Limited working proficiency","Limited working proficiency","No","No","No","No","Post Doc","IUSSI 2014: Cairns, Australia","Poster presenter","Research Institute (INPA, Butantã Institute, Humboldt, Insibio, Inecol, NSF, NIH, HHMI etc);Government institution","Somewhat agree","Personal or institutional financial resources;Geographic location;Language",""
"2022/02/08 10:08:52 AM EST","25-29 years old","Transgender man","","Bisexual","","Continental US","Continental US","White","","Christianity","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Public University or Faculty","I prefer not to answer","",""
"2022/02/09 2:04:34 PM EST","25-29 years old","Prefer not to respond","","Bisexual","","Continental US","Continental US","Latinx;White","","An additional affiliation not listed","Zen (though not really a religion in the standard sense) ","Neurodiverse/neurodivergent","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Research-intensive institution (M.S. and Ph.D.)","I prefer not to answer","",""
"2022/02/11 11:48:02 AM EST","25-29 years old","Cisgender man","","Heterosexual","","Continental US","Continental US","Southeast Asian;Brown","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Public Institute of Education, Science and Technology","Strongly agree","Personal or institutional financial resources;Access to travel awards/funding",""
