"ID","role_attended_before"
"1",NA
"10",NA
"100",NA
"101",NA
"102","Invited speaker"
"103","Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker"
"104",NA
"105",NA
"106",NA
"107",NA
"108","Invited speaker; Invited speaker"
"109","Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Invited speaker; Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Invited speaker; Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Invited speaker; Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Invited speaker; Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Invited speaker"
"11",NA
"110",NA
"111",NA
"112",NA
"113","Attendee; Attendee; Attendee; Attendee"
"114","Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker; Plenary speaker"
"115","Invited speaker; Invited speaker"
"116",NA
"117","Poster presenter; Poster presenter; Invited speaker; Invited speaker; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Poster presenter; Poster presenter; Invited speaker; Invited speaker"
"118","Attendee"
"119","Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker"
"12",NA
"120","Invited speaker; Invited speaker"
"121","Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter"
"122","Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker"
"123","Attendee; Attendee"
"124",NA
"125",NA
"126",NA
"127","Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter"
"128",NA
"129",NA
"13",NA
"130",NA
"131",NA
"132","Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker"
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138","Poster presenter"
"139","Attendee; Other"
"14","Plenary speaker; Plenary speaker"
"140","Invited speaker; Plenary speaker; Administrative duties; Invited speaker; Plenary speaker; Administrative duties; Invited speaker; Plenary speaker; Administrative duties; Invited speaker; Plenary speaker; Administrative duties; Invited speaker; Plenary speaker; Administrative duties"
"141","Attendee; Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Invited speaker; Invited speaker"
"142",NA
"143",NA
"144",NA
"145","Attendee; Plenary speaker; Administrative duties; Attendee; Plenary speaker; Administrative duties; Attendee; Plenary speaker; Administrative duties; Attendee; Plenary speaker; Administrative duties"
"146","Poster presenter; Invited speaker; Poster presenter; Invited speaker; Poster presenter; Invited speaker; Poster presenter; Invited speaker"
"147",NA
"148","Poster presenter; Poster presenter; Poster presenter; Poster presenter"
"149",NA
"15",NA
"150","Poster presenter; Poster presenter; Poster presenter; Poster presenter"
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157","Attendee; Attendee; Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Attendee; Attendee; Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Attendee; Attendee; Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker"
"158",NA
"159","Poster presenter; Poster presenter; Poster presenter"
"16",NA
"160",NA
"161",NA
"162","Poster presenter; Poster presenter; Invited speaker; Invited speaker; Poster presenter; Poster presenter; Invited speaker; Invited speaker; Poster presenter; Poster presenter; Invited speaker; Invited speaker"
"163",NA
"164","Invited speaker; Invited speaker"
"165","Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker; Invited speaker"
"166",NA
"167",NA
"168",NA
"169","Attendee; Invited speaker; Administrative duties; Attendee; Invited speaker; Administrative duties; Attendee; Invited speaker; Administrative duties; Attendee; Invited speaker; Administrative duties"
"17","Poster presenter; Poster presenter; Invited speaker; Invited speaker; Poster presenter; Poster presenter; Invited speaker; Invited speaker"
"170","Poster presenter; Invited speaker; Other; Poster presenter; Invited speaker; Other; Poster presenter; Invited speaker; Other; Poster presenter; Invited speaker; Other; Poster presenter; Invited speaker; Other"
"171",NA
"172","Attendee; Poster presenter; Invited speaker; Plenary speaker; Administrative duties; Attendee; Poster presenter; Invited speaker; Plenary speaker; Administrative duties; Attendee; Poster presenter; Invited speaker; Plenary speaker; Administrative duties; Attendee; Poster presenter; Invited speaker; Plenary speaker; Administrative duties; Attendee; Poster presenter; Invited speaker; Plenary speaker; Administrative duties; Attendee; Poster presenter; Invited speaker; Plenary speaker; Administrative duties; Attendee; Poster presenter; Invited speaker; Plenary speaker; Administrative duties; Attendee; Poster presenter; Invited speaker; Plenary speaker; Administrative duties"
"173",NA
"174","Attendee; Attendee"
"175",NA
"176",NA
"177","Attendee; Attendee; Invited speaker; Invited speaker; Plenary speaker; Plenary speaker; Attendee; Attendee; Invited speaker; Invited speaker; Plenary speaker; Plenary speaker; Attendee; Attendee; Invited speaker; Invited speaker; Plenary speaker; Plenary speaker; Attendee; Attendee; Invited speaker; Invited speaker; Plenary speaker; Plenary speaker"
"178",NA
"179",NA
"18",NA
"180",NA
"181",NA
"182",NA
"183",NA
"184","Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee"
"185","Attendee; Attendee; Invited speaker; Invited speaker; Attendee; Attendee; Invited speaker; Invited speaker; Attendee; Attendee; Invited speaker; Invited speaker"
"186",NA
"187","Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker"
"188","Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee"
"189","Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter; Attendee; Attendee; Attendee; Poster presenter; Poster presenter; Poster presenter"
"19",NA
"190","Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker"
"191",NA
"192",NA
"193",NA
"194","Poster presenter; Invited speaker; Poster presenter; Invited speaker"
"195",NA
"196",NA
"197","Poster presenter; Poster presenter; Poster presenter"
"2","Poster presenter"
"20","Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Administrative duties; Administrative duties; Administrative duties; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Administrative duties; Administrative duties; Administrative duties; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Administrative duties; Administrative duties; Administrative duties; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Administrative duties; Administrative duties; Administrative duties"
"21","Poster presenter; Poster presenter"
"22",NA
"23","Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee; Attendee"
"24","Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Administrative duties; Administrative duties; Administrative duties"
"25","Attendee; Attendee; Attendee; Other; Other; Other"
"26",NA
"27","Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter; Poster presenter"
"28","Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker; Attendee; Attendee; Attendee; Invited speaker; Invited speaker; Invited speaker"
"29","Poster presenter; Poster presenter; Poster presenter"
"3","Attendee; Attendee; Invited speaker; Invited speaker; Attendee; Attendee; Invited speaker; Invited speaker"
"30",NA
"31","Attendee; Attendee; Invited speaker; Invited speaker; Attendee; Attendee; Invited speaker; Invited speaker; Attendee; Attendee; Invited speaker; Invited speaker; Attendee; Attendee; Invited speaker; Invited speaker"
"32",NA
"33","Attendee; Invited speaker; Administrative duties; Attendee; Invited speaker; Administrative duties; Attendee; Invited speaker; Administrative duties; Attendee; Invited speaker; Administrative duties"
"34","Poster presenter; Invited speaker; Poster presenter; Invited speaker; Poster presenter; Invited speaker; Poster presenter; Invited speaker"
"35","Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker; Attendee; Poster presenter; Invited speaker"
