Location,Transect,Point,Quad,Category,Species,Distance_m,DBH_cm
Burned,1,1,1,Canopy,Pinus elliottii,7,22.5
Burned,1,1,2,Canopy,Pinus elliottii,12.5,13
Burned,1,1,3,Canopy,Pinus elliottii,39,28
Burned,1,1,4,Canopy,Pinus elliottii,6,26.5
Burned,1,2,1,Canopy,Pinus elliottii,16.2,18
Burned,1,2,2,Canopy,Pinus elliottii,22.5,22
Burned,1,2,3,Canopy,Pinus elliottii,23,20.5
Burned,1,2,4,Canopy,,,
Burned,1,3,1,Canopy,Pinus elliottii,25.6,19.5
Burned,1,3,2,Canopy,Pinus palustris,12.7,16
Burned,1,3,3,Canopy,Pinus palustris,22.2,24
Burned,1,3,4,Canopy,Pinus palustris,20.8,17
Burned,1,4,1,Canopy,Pinus elliottii,14.6,22.5
Burned,1,4,2,Canopy,Pinus elliottii,7.3,16.5
Burned,1,4,3,Canopy,Pinus elliottii,11.3,28.7
Burned,1,4,4,Canopy,Pinus elliottii,21.7,17
Burned,2,1,1,Canopy,Pinus elliottii,14,27
Burned,2,1,2,Canopy,Pinus elliottii,8,20
Burned,2,1,3,Canopy,Pinus elliottii,12,18
Burned,2,1,4,Canopy,Pinus elliottii,8,22
Burned,2,2,1,Canopy,Pinus elliottii,2.4,20
Burned,2,2,2,Canopy,Pinus elliottii,4.6,25
Burned,2,2,3,Canopy,Pinus elliottii,25,22
Burned,2,2,4,Canopy,Pinus elliottii,10.45,18
Burned,2,3,1,Canopy,Pinus elliottii,6.2,25
Burned,2,3,2,Canopy,Pinus elliottii,9,15.5
Burned,2,3,3,Canopy,Pinus elliottii,14.4,19
Burned,2,3,4,Canopy,Pinus elliottii,18.7,18
Burned,2,4,1,Canopy,Pinus elliottii,10.1,20
Burned,2,4,2,Canopy,Pinus palustris,8.2,24
Burned,2,4,3,Canopy,Pinus elliottii,6.6,21
Burned,2,4,4,Canopy,Pinus elliottii,6.7,19
Burned,3,1,1,Canopy,Pinus elliottii,3.8,25.5
Burned,3,1,2,Canopy,Pinus elliottii,12,25.7
Burned,3,1,3,Canopy,Pinus elliottii,15.3,22.4
Burned,3,1,4,Canopy,,,
Burned,3,2,1,Canopy,Pinus elliottii,9.9,28
Burned,3,2,2,Canopy,Pinus elliottii,24.5,22.1
Burned,3,2,3,Canopy,Pinus elliottii,4.65,23
Burned,3,2,4,Canopy,Pinus elliottii,17.4,21.5
Burned,3,3,1,Canopy,Pinus elliottii,17.2,25
Burned,3,3,2,Canopy,Pinus elliottii,14.75,22
Burned,3,3,3,Canopy,Pinus elliottii,12.8,23
Burned,3,3,4,Canopy,Pinus elliottii,10.7,22.5
Burned,3,4,1,Canopy,Pinus elliottii,22.3,20.5
Burned,3,4,2,Canopy,Pinus elliottii,8.2,22
Burned,3,4,3,Canopy,Pinus elliottii,10.25,18
Burned,3,4,4,Canopy,Pinus elliottii,10.2,27.05
Burned,4,1,1,Canopy,Pinus elliottii,8.8,18
Burned,4,1,2,Canopy,Pinus elliottii,22.1,22.5
Burned,4,1,3,Canopy,Pinus elliottii,9.9,12.4
Burned,4,1,4,Canopy,Pinus elliottii,12.7,33
Burned,4,2,1,Canopy,Pinus elliottii,6.6,16
Burned,4,2,2,Canopy,Pinus elliottii,3.6,18
Burned,4,2,3,Canopy,Pinus elliottii,11.5,32
Burned,4,2,4,Canopy,Pinus elliottii,6.5,25.5
