Location,transect,point,grass cover,woody cover,annuals/perennials,open space,Total Cover
Unburned,1,1,0.95,0,0.05,0,1
Unburned,1,2,0.95,0,0.05,0,1
Unburned,1,3,0.4,0,0,0.6,1
Unburned,1,4,0.8,0,0,0.2,1
Unburned,2,1,0.35,0.05,0.55,0.05,1
Unburned,2,2,0.25,0.05,0.65,0.05,1
Unburned,2,3,0.25,0.05,0.65,0.05,1
Unburned,2,4,0.5,0.05,0.45,0,1
Unburned,3,1,0.05,0.6,0.05,0.3,1
Unburned,3,2,0.05,0.7,0.05,0.2,1
Unburned,3,3,0.05,0.9,0,0.05,1
Unburned,3,4,0.45,0.5,0,0.05,1
Unburned,4,1,0.4,0.05,0.1,0.45,1
Unburned,4,2,0.02,0.03,0.15,0.8,1
Unburned,4,3,0.05,0.05,0.5,0.4,1
Unburned,4,4,0.8,0.02,0.15,0.03,1
Unburned,5,1,0.95,0,0.05,0,1
Unburned,5,2,0.95,0,0.05,0,1
Unburned,5,3,0.4,0,0,0.6,1
Unburned,5,4,0.8,0,0,0.2,1
Unburned,6,1,0.35,0.05,0.55,0.05,1
Unburned,6,2,0.25,0.05,0.65,0.05,1
Unburned,6,3,0.25,0.05,0.65,0.05,1
Unburned,6,4,0.5,0.05,0.45,0,1
Unburned,7,1,0.05,0.6,0.05,0.3,1
Unburned,7,2,0.05,0.7,0.05,0.2,1
Unburned,7,3,0.05,0.9,0,0.05,1
Unburned,7,4,0.45,0.5,0,0.05,1
Unburned,8,1,0.4,0.05,0.1,0.45,1
Unburned,8,2,0.02,0.03,0.15,0.8,1
Unburned,8,3,0.05,0.05,0.5,0.4,1
Unburned,8,4,0.8,0.02,0.15,0.03,1
Unburned,9,1,0.8,0.2,0,0,1
Unburned,9,2,0.7,0.3,0,0,1
Unburned,9,3,0.7,0.15,0.05,0.1,1
Unburned,9,4,0.75,0.15,0.05,0.05,1
Unburned,10,1,0.9,0,0.05,0.05,1
Unburned,10,2,0.05,0.7,0.05,0.2,1
Unburned,10,3,0.25,0.75,0,0,1
Unburned,10,4,0.05,0.45,0.05,0.45,1
Unburned,11,1,0.25,0.35,0.05,0.35,1
Unburned,11,2,0.45,0,0.1,0.45,1
Unburned,11,3,0.3,0.45,0.05,0.2,1
Unburned,11,4,0.8,0,0.1,0.1,1
Unburned,12,1,0.05,0.8,0.1,0.05,1
Unburned,12,2,0.33,0.27,0,0.4,1
Unburned,12,3,0.4,0.3,0.005,0.295,1
Unburned,12,4,0.55,0.35,0,0.1,1
Unburned,13,1,0.35,0,0.65,0,1
Unburned,13,2,0.95,0,0.05,0,1
Unburned,13,3,0.8,0,0.2,0,1
Unburned,13,4,0.45,0,0,0.55,1
Unburned,14,1,0.8,0.1,0.1,0,1
Unburned,14,2,0.9,0.05,0.05,0,1
Unburned,14,3,0.95,0,0.05,0,1
Unburned,14,4,0.95,0.05,0,0,1
Unburned,15,1,0,0.9,0.1,0,1
Unburned,15,2,0,0.95,0.05,0,1
Unburned,15,3,0.8,0.1,0.05,0.05,1
Unburned,15,4,0.35,0.1,0.15,0.4,1
Unburned,16,1,0.85,0.01,0.05,0.09,1
Unburned,16,2,0.85,0.05,0.05,0.05,1
Unburned,16,3,0.4,0.05,0.05,0.5,1
Unburned,16,4,0.7,0.05,0.01,0.24,1
Burned,1,1,0.3,0.4,0.15,0.15,1
Burned,1,2,0.4,0.3,0.1,0.2,1
Burned,1,3,0.3,0.2,0.25,0.25,1
Burned,1,4,0.3,0.3,0.2,0.2,1
Burned,2,1,0.1,0.6,0,0.3,1
Burned,2,2,0.05,0.25,0,0.7,1
Burned,2,3,0.2,0.65,0,0.15,1
Burned,2,4,0.25,0.55,0,0.2,1
Burned,3,1,0,0,0.5,0.5,1
Burned,3,2,0.15,0,0.55,0.3,1
Burned,3,3,0.2,0,0.1,0.7,1
Burned,3,4,0.1,0.1,0.7,0.1,1
Burned,4,1,0.05,0.15,0,0.8,1
Burned,4,2,0,0.75,0,0.25,1
Burned,4,3,0.05,0.8,0,0.15,1
Burned,4,4,0.8,0.15,0,0.05,1
Burned,5,1,0.2,0.15,0.05,0.6,1
Burned,5,2,0.2,0.35,0.05,0.4,1
Burned,5,3,0.4,0.15,0.07,0.38,1
Burned,5,4,0.05,0.6,0.05,0.3,1
Burned,6,1,0.1,0.1,0,0.8,1
Burned,6,2,0,0,0.2,0.8,1
Burned,6,3,0.1,0,0.8,0.1,1
Burned,6,4,0.35,0.1,0.15,0.4,1
Burned,7,1,0.3,0.05,0.25,0.4,1
Burned,7,2,0,0.2,0.2,0.6,1
Burned,7,3,0.1,0.05,0.7,0.15,1
Burned,7,4,0.4,0.15,0.05,0.4,1
Burned,8,1,0.45,0.3,0.05,0.2,1
Burned,8,2,0.1,0.1,0.05,0.75,1
Burned,8,3,0.01,0.4,0.2,0.39,1
Burned,8,4,0,0.7,0.15,0.15,1
